Q,A
웅 나 돈들어오ㅓㅆ당 ㅋㅅㅋ 다행 전화했었어? 옥션에다가??,봤지 이게 나야
진짜??? 개쫀다,ㅋㅋㅋㅋㅋㅋㅋㅋ
진짜로 ?? 너 왤케 쩔어,사실 안했어 까먹고있었음 ㅋㅋㅋㅋㅋ
ㅋ 뒤진다,ㅋㅋㅋ
쨌든 들어옴 ㅋㅅㅋ,멋짐 폭발 잘됐네~~
진짜 개쩔어함 머함,애들 기다리구이써
어딘데,석계에용 담골에서 담배피고있었오
ㅇ,ㅎ
환갑잔치데려가,따라란..
싫어? 그만 질척거려?,아니 난 진짜졸아 ㅎ아 아빠한테 아까 말해봄
여전히 싫으시대? 주인공이 싫으시면  어쩔수 없지만 슬퍼 정상이래,정상맞아 자기 정상이야
ㅠ 아버님 뭐라셔 초대안할거니까 꿈도꾸지말라셔??,ㅋㅋㅋㅋㅋ 엄마한테 물어보래 나중에 통화내용 알려줄게
ㅠ 슬퓨,ㅋㅋㅋㅋㅋㅋ 일단 용ㅇ후랑 피시방왔어요
집에 안가?,가야지 한두판하구 들어가유..
ㅇ 비안와 ?,응 비언와요 이제 집에가요~~ 집도착입니더
오야 저녁안 은,저녁 집에서 차려먹으려구용 꼬기 먹어유
어무니는??,없어용
힝 어디가셨대,몰겠슈 화장품른 그대로야
내일은 제대로 약속잡아 어무니랑 케이크 사갔는데 안계시고 저녁 드시고 오면 좀 그렇잖아,응 그럴게요
웅웅 밥 목었어?? 난 옴마가 치킨사켜쥰대,오옹 맛있겠구만 나 밥먹었어요
웅 난 비빔국수 먹고싶었는데 낼 해준대 ㅋㅅㅋ 이제 모해 자기,나 숙소 검색해보고있어요
웅 바쁜가보네,아뇽 대충 마무리지었습니다 내일 예약하면 이제 진짜 끝 내일 파파가 돈 보내준데요
웅 읽씹?,잉? 나 이제 나가용
어디가는데,자기 데리러가지 어디가
엥 왜 델러오ㅓ,할것두 없고 자기 얼굴보러가용
대써 집에서 쉬어 나 바로 엄마집 가야하는데,알아용 할수있으니까 할게유
갠차너 집에서 쉬어,이미출발함~~
더운데 뭐하러,ㅋㅋ 집도착했어요!!
두찌 털갈이하심 미쳐,우왕.. ㅋㅋㅋㅋㅋㅋ 엄청 많이 나오네유... 나 밥먹는당!
또? 쿄쿄 내일 오겠다 그치 나 집갈때 정지현이랑 담한피해도돼?,그럼요
샹떼 피방이래,잉? 누구랑
그쪽가서 담배필듯 지 재수동창들이랑,음..
걔만 나와서 밖에서 핌 걱정 ㄴㄴ,음 그럼 오케
ㅇ,ㅋㅋ ㅋ
고객이 통화중이야,군대선임이였어요 어디야??
집이여 밥먹구 저나해 나 씻을갱,네에 ㅛㅣㅅ고와요 나 다먹었엉
나두 다 씻음,저 자러가요
자기야 어머님한테 같이 밥 먹자구 하지말고 그냥 수요일에 자기가 뵙고 케이크 같이 먹고 와요 어른들도 불편하고 부담스러운게 있는건데 내가 너무 급하게 생각했나봐 어머님 아버님이 보고싶어하실때 천천히 찾아뵐게 기다릴게 괜히 중간에서 마음 쓰게 해서 미안해 잘 보이고 싶은데 잘 안되는 것 같아서 속상했어 나도 잘게 잘자,내가 다 속상하네.. 눈이 일찍 떠져서 엄마랑 더 얘기하구 왔어 엄마는 자기가 싫고 부담스러운게 아니라 내가 진짜 결혼할 나이가 되고 그런 상황이 됐을 때 보고싶나봐. 얼굴 보는 게 뭐 그리 어렵다고 그러는지 모르겠지만 엄마가 고집쟁이라 자기가 고생하네.. 자기가 잘 지내고 싶어하는 거 알지만 우리 조금만 여유가지고 있어보자 내가 미안해요 😞
그레 나 이러너써,애기 일어났구나 바로 준비할거애? 나 씻고올게요 이제 나가요
도착했어,나도 충무로 도착했어 잘 다녀와요
저녁에 비온대 우산있어? 오늘 늦게까지 있을거야?,응 늦게까지 있으려구 우산도 챙겨왔어 이따 데리러갈게
응 고마워 밥은 먹었어?,집에서 먹구 아직 안먹었어 자기 일끝나구 밥먹는다고 하면 4시쯤 먹게
응 일끝나고 먹자,알겠어용
내일 그럼 나랑 있다가 집에가서 자는거야?,응 그래야지
아맞다 나 오늘 엄마집 가 거기서 저녁 먹을건데 같이갈래?,어머님만 괜찮으시면 난 좋아 집에서 긴바지 챙겨올까?
ㅋㅋ 됐어 저녁 혼자 먹을거야? 아니면 비빔국수 조금 거져갈까?,자기가 갔다주는거면 다 좋아 그래도 저녁 대충이라도 챙겨 먹을게
응응 좀 챙겨갈게 저녁 배고플때 먹어 일찍 먹지말구,네 그럴게요
택배 왔대,자기 불편하면 환불할래요? 난 정말 상관없어 5시에 밥먹으러가요
그건 그거고 생신축하는 생신축하지 왜 환불을 해 날 왜그렇게 별로로 봐,내가 맘이 불편해서 그렇게 말한거야 미안해 생각이 짧았다
밥먹어? 나 30분쯤 쉬어,아니요 이제 나가요 알밥집 왔어요
많이 먹어,네에 자기는 뭐먹을거에요?
뭐해? ㅋㅋ뭐해,ㅋㅋ
돈 들어왔다고 너무 막 쓰는거 아니야?,1 ㅡ 빌린거
일주일 뒤에,3 ㅡ 반지
또 돈 없어서,3.5 ㅡ 케이크
곤란해하려고,5ㅡ cctv
여기까지만 받을게,됐어 일단 받아
싫어,왜에 그게 내 맘이 편해 받아줘
난 이게 편해,ㅡ.ㅡ
ㅡㅡ,ㅎㅎ 돈 보내니까 나도 기분좋다
많이 받았어 나도 좋아,그러니까 받아줘야돼?
오만우ㅗㄴ운 다시 보냈다 받을건 받았구,Cctv
계산 끝,같이 산거잖아
오면 너가 설치하고,왜 안받아 근데
와이파이도,같이 설치할거야
다 너가 해결해야하니까,이 바보야
는너야 난 설치안해 너가해 나 들어가서 빵목을거다,그래 맛있게 먹어라 오만원 다시보낸가
나도 다시보낸다 절대 받을 생각없으니까 그만하는게 좋을걸 ㅈ기 머해? 전화가 안되네,나한테 전화가 안돼?? 내가 걸어볼게
안돤대 들어간다 이따봐,이따봐용
오야,홧팅!
자기두 사랑해,사랑해!!!!!
야 뭐함,나 공부하구있지 담배타임이야?
ㅋㅋㅋㅋ ㄴㄴ 민정이랑 있는데 어케 나 어무니한테 드릴 편지 다 생각함 메모장에 써놨음,ㅋㅋㅋㅋ 우리 자기 기특해죽겠네 가서 이뻐해줄게?
ㅋ 첨삭 받고싶은데 창피해서 보여쥬기 시러 우짬,왜 창피해 나한테만 보여줘바
당연히 너한테만 이지 나중에 보여줌,오케 집에서 보여줘용
생각해볼게,네 자기씨 얼마든지요! 집 더착했어요 엄마한테 전화해보니까 제기동에 있는 할머니집으로 오라고해서 거기 갈꺼같아
바로 가요? 나는 지금 집 도착 케이크랑 다 들고가는거에요?,그게 낫지 않겠어??
그래용,할머니랑 이모있는데서 자기 자랑해야디
케케 조앙 히히,다녀올게
응응 조심해서 다녀와 맛있는고 많이 먹구 어무니는 할무니댁에 먼저 가신고야?,주소 알아서 택시타고 가는중이에용
웅 조심해서 가요 존맛 감자 먹고싶운 호야,나도 도착!!
ㅇ,에고 정신없이 얘기하고 먹어가지고 감자전 맛있게 먹었어??
밥먹고와써?,아직 할머니집이야 케이크 먹구 얘기중 자기는??
웅 나도 옴마집 내말은 할머니댁에서 밥 먹었냐구,밥은 안먹구 케이크랑 옥수수먹었성 이모차 타구 집간당 무해 한숨 자는중??
자다 깼어,이제뭐하게 애기
애기 나 출근했어요 구냥 지하철 타고 출근함 ㅋㅋ 늦게 자는 것 같던데 푹 자고 일어나서 연락해요 사랑해 애기야 점장님이 장난친고였음 ㅋㅋ 점장님 출근하셔서 같이 일하다가 방금 쉬러가셨어요 무사히 오픈 하구 일하는중이에용 애기 나 쉬는시간~~,자기 나 다 씻고 나가요 일찍 일어나느라 고생했어 조금만 더 힘내자!!
웅 야기 나도 엎드려서 좀 자다가 이제 다시 들어가요 ㅠㅠ 끝나구 저나할게,그래요 자기~
오댜!!,충무로 도착해서 밥먹으러간다!!
혼자?!,네네 알밥 얌엄
힝구 내 스케줄이다!! 오픈 휴일 마감 하앙 개꿀,다시 바꼈구나~ 휴일다음에 마감이라 다행이네 ㅋㅋㅋㅋㅋㅋ 나 연구실도착했어요
잉구 아라쪄 애귀!!!!! 애기!!!!!! 애!!!!!기!!!!! 애!!!!!!!!!!기!!!!!!!!!!!! 애!!!!!!!!기!!!!!!!!야!!!!!!!!!,네 네!!@ 자기 부르셨어요? 자기?
배고퓨,우리 애기 배고프구나. 한 숨 잤니??
조금 졸다가 말아쪄,글쿤 애기 보러 슬슬 간다!
헤에!!!!,ㅋㅋㅋㅋㅋㅋ 간다!
밥 시켜떠!!!,잘했따!!
애기야 현지 도착했어요 다녀올게 일어나면 연락하구 더우면 에어컨 틀구 무슨일 있으면 연락해요 다녀올게~~ 자기 보고싶다 물왔대유,애기 나 일어났어요 언제 또 나갔대..
힝 자기 ㅠㅠ 보고싶어,나도잉 비가 엄청 오네 우산은 있어 ?
웅 우산 가져왔어 보고시퓨,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
나 11시쯤 쉬어 부점장님 출근하시면,무슨일 있는건 아니지?
웅 옶떠 보고시퍼,다행이네 혼자 오픈하느라 힘들었나?
웅 힘두러퓨ㅠㅠㅠㅠ 힝,나도 보고싶어 자기 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
안아죠 안아죠,이거밖애 업성... ㅔ
ㅠ 현지 안아죠ㅠ 인누왚 야야 너 그고 빵 먹어 존맛임 먹구 학교가 아님 가져가서 먹돈가 존맛임 하나만 먹어봐,네 자기
빨간건 닭강정맛남 아닌건,챙겨가서 먹을게용
약간 뭐랄까,응
마늘빵맛? 뭐 그런맛이 남,ㅋㅋㅋㅋㅋㅋㅋ 둘다 맛있겠네
엉 맛나도라 ㅅㅂ 잘만들었음 이번 신제품 맘에드로 하앙 빨랑 쉬고싶어,쉬는시간에 뭐좀 먹어야지 자기
웅 갠차나 나 아까 빵목오뗘,글쿤 나 그럼 얼른 씻고올게
힝 쿄쿄 부점장님 오셨당,금방 오께!
웅 천천히해유 현지 쉬어유 자기? 쿄쿄 알람맞츄ㅓ노코 걍 잠 이제 인나서 슬슬 들어가려규,그래유 잘갔다와유 내꺼 나도 이제 나갈게요
웅 뭐해떠,ㅋㅋ 웹툰봤앙 자기 애들이 노래방가자는데 갈꺼에요? 자기 피곤하면 나랑 같이 있고요
우웅 몇시에?? 자기 가면 자기 따라갈래,잠시만용 7시나 7시반쯤 간다는 거 같네
웅,일단 자기 출근하느라 피곤할수도 있으니까
자기 가면 따라갈게유,상황보고 연락쥰다고 했어
아라뚀,네 자기
쟈기 가고싶으면 가도돼,됐어 자기 피곤하면 말해줘야돼? 부담없이 말해요 나 괜찮아 충무로 도착해서 김가네 왔어요 자기자기
웅 자기 자래떠 내새끼,연구실도착이욤 자기는 퇴근할 시간이 다가오네 비가 왔다가 안왔다가 하니까 우산 챙겨가요
응응 자기 보고싶다 ㅠ 오늘 초복이래 울애기 삼계탕 사쥬까??,몸보신은 따로 하면 되지
어케하게,자기가 있잖아 ㅎㅎ
ㅎ 자기 보구시퍼 끼잉,우리 애기~~~~ 왜 울어 어제 그렇게 괴롭히더니!
내가 언제 ㅠ 자기가 훨씬 더 많이 괴롭혔자너,히히 몰라몰라
보구시퍼 ㅠㅠ 자기가 또 재워줬으면 조케써 안겨서 자고시퍼,ㅋㅋㅋㅋㅋ 오늘도 안겨서 자자
아니 지금당장,지금..?
웅 당장,ㅋㅋㅋㅋㅋㅋㅋ
그냥 당장 보고시퍼 기다리기 시로 오늘 넘넘 보고싶어,오늘 볼텐데?
출근하려고 집 나오면서 부토 보고싶었단멀아야,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀요마
많이 기다렸다구,오늘 볼꺼야 좀만 기다류 오늘도 같이 잘꺼니까 기다릴수있찌?
아니 못기다려,ㅋㅋㅋㅋㅋㅋㅋ
웃어?,힝
못기다린다구 얼른 현지보러오라구 술마시러도 가지말고 현지랑 붙어서 누워있자구 어?!?!?!(!?! 왜 대답안해ㅠㅠㅠㅠㅠㅠ,ㅋㅋㅋㅋㅋㅋ 애기 나 형들이랑 발표하구있었어 조금만 기다려줘요 애기
끼잉 시장에서 김밥 사다가 먹을거야 나 퇴근해쪄 자기 또 형아들이랑 얘기하나보네 현지 엄마집간다!,구래 맛있게 먹구 와라 애기야
웅,ㅋㅋㅋㅋㅋ 피카츄 무야!
헤엑,무야무야 미쳤따 자기야 개맛있어보여 내껏두 이썽..?
닭죽 완전 맛이써 엄마가 닭죽 싸줄테니까 준서도 주래 ㅋㅋ,히히히힣 맛있겠다 자기가 준 도넛 다 먹었어 내 취향은 아니오 그래도 맛있게 먹었어
ㅋ,ㅋㅋ 애기 뭐하니 나 출발해요 애기 푹 자는중?
나 깼어 나갈까?,나 지금 상월곡이야 내가 거기로갈게
웅,자기 이제 나와용
애기 현지 도착했어요 일찍 도착했군 다녀오께 일어나면 밥 꼭 먹고 가요 연락하구!! 사랑해,잘하구있니 자기 나 이제 일어났엉ㅅ
밥 잘 돼??,돌리고이썽
웅 덜어서?,아닝 한번에 돌리고있는데
ㅋㅋㅋ,물을 너무 많이 넣었나
아냐 많이 돌리고 잘 섞어 먹으면 돼 무리하지말고 먹을 수 있을만큼만 먹어요 남겨도돼 편의점에 포켓몬 키링 있길래 두개 사서 부점장님이항 같이 뜯어봄,ㅋㅋㅋㅋㅋㅋㅋ 키링만 따로파나보네?
내꼬는 잠만보 나오고 부점장님은 이상해씨나옴,새로운거 나왔구나
엉 봉투 안에 들오있어서 뭔지 모르고 걍 뽑어야대 근데 부점장님 잠만보 조아해서 내가 잠만보 부점장님 주고 이상해씨 가꼬옴 엄마줘야지 ㅋㅋ,잘했어 어른이네 자기 어머니 이따 드리러가자
웅 엄마가 치킨빵 귱금하다그래소 샀오 주려규,그래유 어딘교?
뉴나 들오간다 애기야!!,다녀오구라! 몸 조심하구
얘! 너 뭐하니!! 나 10분뒤 퇴근이다!!,인간은 한없이 미련한법 자기카톡보고 얼른 씻고 나왔지..ㅎ
아이씨 그럼 더 늦게가지 나보고,그럴까요?
보고싶은데 그럼 더 늦게올거지,그쵸..?
아냐 가,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 😆
그냥 카페에서 공부하지 왜맨날 학교가,간다.. 바보는 형들이 도와줘야돼..
마미집 도착!! 애기는!!!,나도 연구실 도착햤다!!
오야!!! 날 많이 덥찌!!!! 또 더위 먹지말구!!!! 나두 닭죽 목는다!!! 장원이 12시반출근인데 내 전화 받고 깼대 ㅋㅋ 정신머리,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
짠,두찌는 얘가 잘생겼네 애기보러 간다!
쟉이 현지 일어나떠,어디야?
엄마집 쟈기는 언제 도착행,나 35분정도 걸려요 도착하면 전화할게
맞 ㅇ갈거야,구래 상월곡에서 연락할게
재감은 어디야,이제 동댜입구여 방굼 탔오
아라또 쟉이 나 지금 강다!,나 아직 보문인데??
갠차낭 가는데 시간 걸리니까ㅔ 애기~~~ 나 출근 잘 했어요 울애기 좀 더 자다가 너무 늦지않게 일어나서 밥도 먹고 학교도 가요 일어나면 연락하구~~ 사랑해 애기야 애기 밥먹구 학교 가려면 슬슬 일어나야지 애기 무음인가보네 슬슬 일어나서 밥 먹구 가면 좋을텐데ㅠㅠ 시작하면 중간에 밥 먹을 시간도 없자나ㅠㅠ,나 일어났우 나듀 사랑해
얼른 일어나~~,네 😢 진짜 일어남
아규ㅜ 누나 11시쯤 쉬어 얼른 준비하라구 저나하겡,나 나가 전화 언제든지 해 우가우가 창문도 열었어 더착해서 밥먹으러가용
눙 난 지금 일어나떠 들어가야지 슬 꿀잠 짜떠,피곤할텐데.. 조금만 더 힘내요 자기 안다치게 조심하수
웅안다쳐! 밥은 뭐먹니,보쌈정식먹규있어요
오구 내새끼 마니목어~,얀구실도착해서 준비하구있어용
웅 애기 잘하구있닝 난 곧 퇴근이다!!,웅 이제 회의 및 발표 끝나구 3시에 다시 발표있다리
오케잉 교수님이랑???,원래 교수님도 계셔야되는데 강의 안보고왔다고해서 이번주는 안오신대 ㅋㅋㅋㅋ
아놔 우리애기도 밤새서 보는데 교슈는 지가 보라해놓고 왜안봐 자기여 나 등 멍든것같아 어깨뼈쪽 아프다규 했는데 자기가 자꾸 때린곳 만지는데 아포 따가워,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 멍들거같았눈데 멍이 들었나보넴.. 미안햄..
ㅠ 나빠 나 십분뒤에 끝나 자기는?,나는 연구실와서 발표할거 준비중이야
웅 발표는 언제 꿑나??,5시쯤 끝날거 같은디?
ㅇ 끝나면 저나해라,알게쏭
니 짐까지 담배 몇개 핌 난 하나 ㅋ 지리지 ㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ
이따 집가서 몰아서 펴야지,난 3개~~
웅 너 4개 남음~ ㅅㄱ,4개 남았다 충분해^^
나 집 도착했는데 시발 이게 무슨일임? ㅋㅋㅋㅋㅋㅋㅋ 창문으로 들어왔음 열쇠 챙겨와라,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 열쇠 문에 박혔어?? 뭔일이래 나 얄쇠 집에있어
ㄴㄴ,내일 갔더쥴데
걍 없어짐,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
가방에도 없름 이샤끼 어디감,자기 나 좀더 늦을거같아요 아직도 안끝났네
헤에 끝날기미는 보이낭,자기.. 나 이제 끝나구 가요 많이 배고프지 우리 애기 ㅠㅠ 얼른갈게
이수빈 없넹,구랭? 오늘 일 안하나보네??
월화수한다했뉸데 걍 사서 나옴 님 어디,이제 돌곶이 도착입니다~
자기 언제와 자기자기 자기 ㅠ ㅠ ??,이제 자러 가요 자기 우리 부모님이 한 말 신경 쓰이겠지만 상처는 안 받았으면 좋겠어 내가 봤을 땐 자기를 미워하는 것처럼은 안 보였어 물론 엄청 조금도 밉지 않나?라고 물어보면 그건 또 아니겠지 내가 집을 자주 비우니까 걱정도 하실 거 같아 그래도 그 감정들은 아직 자기를 알기도 전이고 우리가 잘 지내면 자연스럽게 없어질 것들이라고 생각해요 내가 더 노력할게 자기야 우리 자기도 성숙한 애기니까 충분히 고민많이 하고 있을거라고 생각해요 늦었지만 오늘 하루도 고생했고 잘자요 일어나면 톡줘!
잘 일어나서 출근해요 물론 이해하지만 이해한다고 속상하지 않은 건 아니니까 자기 부모님이고 당연히 예뻐보이고싶고 잘보이고 싶은데 그럴 기회도 없다는게 속상해 시골도 갈 생각에 신나있어서 더 실망스러운가봐 생각하지 않으려고 해도 생각이 나 괜찮으려고 노력할게,응 고마워 괜히 부모님이 자기 속상하게 한 거 같아서 나도 속상하네..
아냐 난 자기만 있으면 돼 부모님은 두명이니까 자기는 완전 내 옆에 있어야돼 나랑 둘이어야대 아라찌? 지금 일어났어?,아빠가 깨워서 밥먹고 지금은 누워있어
웅 이건 왜 대답안해?,그럼 나랑 자기는 하나여
ㅇ 이제 모하게,이제 슬슬 씻어야죵
빨리 준비하네 오늘은 일찍 올건가봐 현지집,그래야지 오늘은 일찍 공부시작!
웅 보고싶어 또 안아줘 여즘 왤케 봐도봐도 보고싶지?? 아무리 안아줘도 부족해ㅠ,하루종일 안아줄게 나도 자기 안고있고싶어
웅 힌 힝 우리 오늘 마싯는거 묵자 갠차나?? 저녁 집에서 먹어야대??,저녁 자기랑 먹을래요 다녀올게요
응응 자기여 자기야,응자기
사랑해 보고싶어,나도 사랑해 우리 애기 👶
ㅋㅋ 애기 임티콘이야? 니도 애기야,응 ㅋㅋㅋㅋㅋ
니도 애기라규,난 애기 아니야 보호자임ㅁ
머랭 자기두 애기면서 너가 자꾸 애기애기 하니까 더 애기같이 구는듯,ㅋㅋㅋㅋㅋㅋ 어른아 쉬는시간 11시니
11시반이다 애기처럼 굴지마까?? 어른처럼 굴어??,애기어른 어른애기
똑바로 말해,무얼
애기가 조아 어른이 조아,난 둘다 좋은데
하나만,번갈아가면서 빙의해줘
아 씹,ㅋㅋㅋㅋㅋㅋㅋ
하나만,왜 하나만이야 그런게 어딨어
내맘이야,애기로해
웅 응애 오늘 함냐함냐??,내가?
웅 현지가 자기 함냐 안대??,돼~
쿄쿄,나 오늘 아침에 하긴했어요
좋구나 ㅋㅋ 아,ㅋㅋ
디질래 ㅋㅋㅋㅋㅋㅋㅋ,흥이다
왤케 왕성해 어제 안해줘서 삐졌음?,아닝..
넘 피곤해쓔 그래도 해달라고 안하도라,응 자기 피곤해보여서
웅,그냥 참아썽
ㅋㅋ,잘했지
응응 고마유ㅗ 엄청 하고싶오허는고겉아보임,그랬어?ㅋㅋㅋㅋㅋ
글고 막 말할까말까 하는것처롬 보임,그정도였남
이악물고 모른척함 ㅋㅋ,ㅋㅋㅋㅋㅋㅋ
피곤해성 ㅎㅎ,잘했오
엉 귀염아 왜 혼자하니 현지가 있는데!!,아침엔 현지 없었단 말임.. 그냥 했다!!왜!!!!
이게!!!,ㅋㅋㅋ 에베베
안해! 뭐보면서 했는지 알려주묜 함,트위터는 아님 ㅋㅋ ㅋㅋ ㅋㅋ
ㅋㅋ 무ㅗㄴ데그롬,천사티비봄
그게모야 ??,사이트이르
ㅋㅋㅅㅂ,그만그만
개웃기네,연구실도착이오
웅 나도 좀있으면 쉰당,rnfo 구래
현지 자다가 들어가유,그래유 잘 들어가유! Cctv 4시쯤에 도착한대요~
오 드뎌 오는군 아 기발 집가고싶어 부점장님 쉅 들우러 갈때쯤 부터 갑자기 바빠서 이제 좀 한숨돌리는중,좀만 더 있으면 퇴근이유 천천히 해요
앙 해헤 50분남아따 쟈기쟈기 보구시퍼 아아아아아어,아아아오아오아아아아ㅏㅇ
반응 왜그래?? 내가 귀찮아??,무야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 답장한줄 알았는데 답장 안했네 미친놈인줄 알았겠따
나 잔짜 상처받음,머리 막 굴리느라
아 ㅅㅂ 근데 폰 바꾸고나서 작아서 그런지 오타 존나 남,나도 모르게 답장한줄 알았어
뭘알어 상처받았다고,나도모르게 답장한줄 알았다구
아 ㅎ,ㅋㅋ
ㅋㅋ 웃어?,ㅜㅜ
울어? 멀잘했다고,이잉
울어 저녁 뒤~집어지게 맛있는거 생각해오면 용서해줌,뒤집어지게라.. 한번고민해볼게요
얼마나 좋은 여자친구야 생각만해오묜 다 사주는데,맞지
맞아안맞아,우리 자기 최고~!
웅,짱짱이야
잘해라,네 자기씨
웅 일찍일찍다닉ㅎ 니고,네에
집도착 담넘다가 넘어져써ㅠ 힝 바로 씻는다,피나? 자기 피나?
아닝 멍만 들었어,쎼게 넘어졌어? 멍이 왜들어 바보야 어쩌다가 넘어져
올라갔다가 발이 미끄러져서 떨어져써힝,에공 냉찜질이라도 하고있어?
아뉭 그정도는 아냥,후암 지금은 뭐하고있어?
누워이떠,글쿤
네에,나 간다 자기야!
아 기분도 드러운데 고딩년들 뒤에서 담배핌,공부 마치고 자러가요 자기 즐거운 꿈 꾸고있으면 좋겠네 항상 행복하자 우리 사랑해요
자기 난 항상 자기 덕분에 행복해 나 잘 일어나서 출근중이야 지금 지하철 탔어요 잘 다녀올게 일어나면 연락해요 얼른 보자 사랑해❤️,나도 잘 일어났어요 네이버카페보니꺼 아직 댓글은 안달렸는데 오늘 jtn 예약하는 날이라 이따가 공지뜨면 알려줄게요
아라뜌 만약에 안된다구해도 끝나구 충무로갈갱 밥먹정,조아요
왤케 마니보냄,서편제 넥스트 투 노멀 우리집에 왜 왔니 니진스키 난세 당신만이 두 교황 나폴레옹 번지점프를 하다
다 다른거임?,이렇게 응 총 9개인데 다 뮤지컬이야
죄다 난세??,두교황 우리집에 왜왔니 이거는 연극이네
흠 뮤지컬 볼건데 자기는,니진스키 ㅡ 발래 난세 ㅡ 정몽주 이방원 
어떤거 보고시퍼,나 나폴레옹
ㅋㅋㅋㅋ 나도 찾아봤음 나폴레옹은,나폴레옹은
외국배유 나온다는디,프랑스팀에서 응 응
영어로 할거아님 못알아먹을텐디,그른가
머보고시포?? 서편제도 나쁘지아나보임 난세도 ㄱㅊ아보임,나는 난세 서편제도 좋아보이네? 그럼 두개중에 가능한거 찾아볼게
녜,자기야 자기야 서편제가 가장 날짜가 좋아서 하려구하는데 보려는 날짜를 정하라넹ㅎ 내가 그냥 정해 ?? 30분지났는디
이거 서편제임??,벌써 마감하는중
난세는??,응 난세눈
이거 배우나와소 그래,자기야 서편제로 가자 난세는
ㅇㅇ,자리 개많아 ㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋ 서편제 배우나와소 그래,서편제 별로야?
아닝 별로는 아닌데,응
소리 얘기래 소리꾼,응응 난 상관없어 다 비슷비슷해보여서 자기는 따로 보고싶은거 있어?
흠,그럼 찾아보고 11시까지
응응,답줄수있남? 오케 자기 나 동네에 있을게요
오잉 왜용 흠 자기야 자기는 뭐보고싶음 ??,난 서편제용
그럼 그거보자 자기 보고싶은걸루 봐용,26일 금요일로할게유
8월이징?,네에
넘늦지않오??ㅔ  7시반?,그른가 수요일 3시는?
흠 금욜로하장 밥먹구 보믄되겠징 머,그래용
야 근데 배우 나오는 날은 어케봐??,이? 그렇네
날마다 하는사람이 다르자낭,배우 나오는 날만 먀진됐나보네
아 그른가?? 조날은 그럼 듣보? ㅋㅋㅋㅋㅋ,근데 나는 배우 안봐도 괜찮우
오케오케 뭐해?,씻구 나와서 희망강의 신청하고있어요
피방?,아뇽 집이에용 이제 나갑니다!
어디가융 동네에있는다묘~,웅 카페에가랴구요 자기야 카페확인해봤는데 우리 예약 안된데 ㅠㅠ 목요일로 얼른 바꿀까? 신분증검사 또하네ㅜㅜ 곤란하다 곤란해 목요일로 재신청했어요
ㅋㅋ,ㅋㅋ
장원이 자는것같아소 카톡 남겨놨어요,넵!
외계인아니면 헤어질결심 둘중하나 보고싶어유 님은 어떤거 원해유,한번 찾아볼게요 무슨 내용인지 볼게
웅웅,나눈 외계인 좌기는
김태리때매? ㅋ,ㅋㅋㅋ never~ 그냥 재밌어보이네
흠 헤어질결심은?? 재미없어보여?? 먼가 심오하고 슬프고 그럴듯 가벼운거 보고싶으면 외계임 생각많은거보고싶으면 헤어질결심,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기 헤어질결심 보고 싶나보네 그거 보자 애기야
ㅋㅋ 철학적이래 고민되넹 헤어질결심은 먼가 집에서 넷플로 보고싶기듀하고 외계인 볼까 와계인보쟈 5시55분?,조아조아 그럼 자기 끝나는 거 맞춰서 청량리로 갈까?
여기? 자리 ㄱㅊ아?,우웅ㅇ 좋아용
난 이쯤 도착하겠네용 가깝넹,그럼 난 2시 50분쯤 나가야겠구마 히히 재밌겠다
ㅋㅋ 김태리 나올때마다 눈감아라,히히 네에
로운 5시까지 런치래 로운가서 먹장 애기 그거 먹고싶다고 했으니까,로운이 뭐야
샤브샤브,앙 감사합니다 애기씨
오야 ㅋㅋ 장원이할인 필요없다 애기야 가방 뒤져보니까 있더라,오이오이 무제한이라니 미친거아니냐구
쿄쿄 가자잉,가자구!
신청해쓔 들어가기전에 담배 필까 말까 50분까진데,같이 피실? 자기 피면 나도 피러감
오케 하앙 얼마 안남았다 애깅~~~,구래구래~~~! 이제 곧이구나야
오이오이 약 5-6분뒤 도착이라규~,허업허업 나도 그쯤도착인디 나 지금 회기지롱
하앙 샤브샤브 맛있겠다,히히
옴마가 김밥 쌌다고 가지러오라는데 집 가서 커피 챙겨서 나 혼자 다녀올게유,같이가요
아냥 자기 집에서 쉅 들어요,걸으면서도 들을수있어
함냐 일단 아라쓔,오키키 난 먼저 출발한다~~!
조심해서 가요 애기!! 아좌좌!!,넵!
나는 곧 도착이다! 애기는 어디니!!,나도 도착이다!
